,,Saccade Onset,PropFace
,,,
CONSPEC,6 Months,0.662336134,0.394640991
,9 Months,0.60868396,0.389582831
,12 Months,0.535426071,0.459946269
,,,
FLICKER,6 Months,0.8933,0.349614879
,9 Months,0.750037037,0.389559411
,12 Months,0.554444444,0.381779758
